Time(s),CH1V,CH2V
-1.800000e+03,5.004534e-01,4.931334e+00
-1.798200e+03,5.347466e-01,5.023334e+00
-1.796400e+03,6.024534e-01,4.886000e+00
-1.794600e+03,6.830667e-01,4.931334e+00
-1.792800e+03,7.066666e-01,4.897334e+00
-1.791000e+03,7.035466e-01,4.908667e+00
-1.789200e+03,7.004266e-01,4.851334e+00
-1.787400e+03,7.084534e-01,4.886000e+00
-1.785600e+03,-8.213333e-03,-2.800000e-02
-1.783800e+03,6.026667e-03,4.066667e-02
-1.782000e+03,-1.490667e-02,4.066667e-02
-1.780200e+03,5.146666e-03,-8.466668e-02
-1.778400e+03,1.138667e-02,-4.666667e-03
-1.776600e+03,-1.224000e-02,-7.333334e-02
-1.774800e+03,-1.712000e-02,1.093333e-01
-1.773000e+03,1.138667e-02,1.553333e-01
-1.771200e+03,-1.266667e-02,-6.200001e-02
-1.769400e+03,-1.624000e-02,6.400000e-02
-1.767600e+03,6.933333e-04,-5.066667e-02
-1.765800e+03,-7.786667e-03,4.066667e-02
-1.764000e+03,-1.845333e-02,1.800000e-02
-1.762200e+03,6.480000e-03,4.066667e-02
-1.760400e+03,-2.157333e-02,4.066667e-02
-1.758600e+03,4.240000e-03,4.066667e-02
-1.756800e+03,-6.400000e-04,-5.066667e-02
-1.755000e+03,-2.336000e-02,-1.600000e-02
-1.753200e+03,1.573333e-03,-2.106667e-01
-1.751400e+03,-1.973333e-03,-1.080000e-01
-1.749600e+03,1.573333e-03,-2.800000e-02
-1.747800e+03,-6.880000e-03,-9.600001e-02
-1.746000e+03,-2.426667e-03,6.400000e-02
-1.744200e+03,-9.546666e-03,-8.466668e-02
-1.742400e+03,7.360000e-03,1.440000e-01
-1.740600e+03,6.026667e-03,5.200000e-02
-1.738800e+03,8.693334e-03,6.400000e-02
-1.737000e+03,6.933333e-04,-1.600000e-02
-1.735200e+03,-6.880000e-03,-7.333334e-02
-1.733400e+03,2.480000e-03,-5.066667e-02
-1.731600e+03,1.138667e-02,-5.066667e-02
-1.729800e+03,2.906667e-03,7.533334e-02
-1.728000e+03,2.480000e-03,-1.600000e-02
-1.726200e+03,-1.546667e-03,-5.066667e-02
-1.724400e+03,3.813333e-03,5.200000e-02
-1.722600e+03,-1.624000e-02,-8.466668e-02
